UniqueID,Q21,Q2,Q3,Q4,Q5,Q6,Q7,Q10,Q19,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q20
dfe2272d-c26d-4da7-9757-4225249dbb6f,No,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Agree,Agree,Agree,Neutral
f95aefe3-62ce-43d5-b40d-b7cbf8e63f5e,No,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly Agree
63476635-77b4-4ad9-8ede-972a1ae7fadb,Yes,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Neutral
91cc3dde-968a-4be0-a87f-7ec635bb05a7,Yes,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral
891ad1a0-30d0-4842-991e-2299524d9667,No,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
17ed9d38-4762-4b21-b0cc-1eb0e2db211b,Yes,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree
442f29a6-eac7-41bb-bce9-2fb4d6f32d78,No,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral
7d7767ef-e4b8-45f2-ba6b-e15656d16c6b,No,Agree,Neutral,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree
07123e78-67e0-43ec-a1dc-498baf6e24dc,Yes,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree
93360547-d69e-4254-b782-f17c7b1441ac,No,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Disagree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
"7337051c-e68f-45f1-8215-a7d69bbca566",No,Disagree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree
b0950b29-5c6c-4d46-b292-7e15a531e8c1,Yes,Neutral,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
bdc09243-cc26-4663-ab71-cee9f7cb4232,No,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
ebe1ae22-7e78-4ddb-a6e7-fb1d70adc45c,No,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
